#;Teams;GP;MPG;PTS;2PM-2PA;2P%;3PM-3PA;3P%;FTM-FTA;FT%;OFF;ORPG;DEF;DRPG;REB;RPG;RP40M;BLK;BLKPG;BLKP40M;BLK/PF;PF;FoulsDrawnPG;AST;APG;AP40M;AST/TO;TO;TOPG;STL;STLPG;STLP40M;STL/TO;STL/PF;TOP40M;PFPG2;PPG;PAPG;EFF;EFFPG;+/-;+/- PG;DBLDBL;TRIDBL;FGMPG-FGAPG;FG%;3PMPG-3PAPG;FTMPG-FTAPG;POSS/PG;NETRTG;ORTG;DRTG;EFG%;DREB%;OREB%;FTRATE;AST%;PACE 40;PACE 48;STOCKS
14;Italy;6;200;473;98-193;50.8;59-179;33;100-134;74.6;68;11.3;156;26;224;37.3;7.5;10;1.7;0.3;0.1;132;22.7;126;21;4.2;1.8;69;11.5;51;8.5;1.7;0.7;0.4;2.3;22;78.8;69.5;539;89.8;56;9.3;2;0;26.1-62;42.2;9.8-29.8;16.7-22.3;70.8;13.7;111.6;97.9;50.1;74.3;30.8;36;29.7;70.7;84.8;10.2
12;Latvia;6;200;491;88-165;53.3;73-213;34.3;96-121;79.3;66;11;141;23.5;207;34.5;6.9;21;3.5;0.7;0.2;136;22.3;122;20.3;4.1;1.9;65;10.8;33;5.5;1.1;0.5;0.2;2.2;22.7;81.8;78.6;547;91.2;19;3.2;2;0;26.9-63;42.6;12.2-35.5;16-20.2;71.1;3.7;114.7;111.1;52.2;65.9;29.9;32;28.5;71.3;85.6;9
6;Lithuania;7;200;595;170-297;57.2;41-144;28.5;132-184;71.7;90;12.9;198;28.3;288;41.1;8.2;19;2.7;0.5;0.1;147;22.4;153;21.9;4.4;1.5;99;14.1;54;7.7;1.5;0.5;0.4;2.8;21;85;79.9;701;100.1;36;5.1;6;0;30.2-63;47.8;5.9-20.6;18.9-26.3;76.4;8.7;112.3;103.5;52.5;71.2;35.3;41.7;28.9;75.7;90.9;10.4
17;Montenegro;5;200;378;94-180;52.2;41-118;34.7;67-93;72;52;10.4;130;26;182;36.4;7.3;10;2;0.4;0.1;103;20.2;92;18.4;3.7;1;90;18;21;4.2;0.8;0.2;0.2;3.6;20.6;75.6;91;393;78.6;-77;-15.4;4;0;27-59.6;45.3;8.2-23.6;13.4-18.6;75.1;-20.8;100.5;121.3;52.2;72.2;30.2;31.2;24.5;75.2;90.2;6.2
7;Poland;7;200;557;122-222;55;60-175;34.3;133-181;73.5;78;11.1;168;24;246;35.1;7;16;2.3;0.5;0.1;159;24.1;115;16.4;3.3;1.1;102;14.6;38;5.4;1.1;0.4;0.2;2.9;22.7;79.6;78.6;594;84.9;7;1;2;0;26-56.7;45.8;8.6-25;19-25.9;70.7;0.1;111.8;111.8;53.4;65.6;34.5;45.6;23.1;71.1;85.4;7.9
18;Portugal;6;200;373;94-222;42.3;43-174;24.7;56-83;67.5;79;13.2;148;24.7;227;37.8;7.6;16;2.7;0.5;0.1;116;18;92;15.3;3.1;1.2;77;12.8;49;8.2;1.6;0.6;0.4;2.6;19.3;62.2;75.5;377;62.8;-80;-13.3;2;0;22.9-66;34.6;7.2-29;9.3-13.8;71.4;-18.4;87.1;105.6;40;73.3;29.4;21;21.5;71.3;85.6;10.8
10;Serbia;6;200;520;130-205;63.4;52-153;34;104-126;82.5;54;9;173;28.8;227;37.8;7.6;17;2.8;0.6;0.2;91;21.3;142;23.7;4.7;1.7;82;13.7;43;7.2;1.4;0.5;0.5;2.7;15.2;86.7;76.7;649;108.2;60;10;3;0;30.4-59.7;50.8;8.7-25.5;17.3-21;73;13.2;118.5;105.3;58.1;70.6;29.3;35.2;32.3;73.2;87.8;10
5;Slovenia;7;200;644;129-214;60.3;77-238;32.4;155-194;79.9;97;13.9;173;24.7;270;38.6;7.7;17;2.4;0.5;0.1;177;25.6;134;19.1;3.8;1.6;86;12.3;46;6.6;1.3;0.5;0.3;2.5;25.3;92;89.7;709;101.3;16;2.3;4;1;29.4-64.6;45.6;12724;22.1-27.7;75.9;4.6;122;117.4;54.1;68.8;36.9;42.9;25.4;75.4;90.5;9
16;Spain;5;200;397;83-150;55.3;55-171;32.2;66-110;60;51;10.2;138;27.6;189;37.8;7.6;12;2.4;0.5;0.1;91;23.6;106;21.2;4.2;2.1;51;10.2;30;6;1.2;0.6;0.3;2;18.2;79.4;70.8;442;88.4;43;8.6;1;0;27.6-64.2;43;11-34.2;13.2-22;72.4;10.2;108.8;98.6;51.6;74.6;25.9;34.3;28.8;73;87.6;8.4
13;Sweden;6;200;482;132-239;55.2;51-151;33.8;65-103;63.1;59;9.8;142;23.7;201;33.5;6.7;21;3.5;0.7;0.2;126;18;122;20.3;4.1;1.8;68;11.3;33;5.5;1.1;0.5;0.3;2.3;21;80.3;83.8;531;88.5;-21;-3.5;2;0;30.5-65;46.9;8.5-25.2;10.8-17.2;73.1;-6.1;109.3;115.4;53.5;64.8;27.3;26.4;27.7;73.5;88.2;9
2;Türkiye;9;200;812;190-331;57.4;98-224;43.8;138-186;74.2;99;11;223;24.8;322;35.8;7.2;33;3.7;0.7;0.2;153;22.1;201;22.3;4.5;1.8;109;12.1;65;7.2;1.4;0.6;0.4;2.4;17;90.2;74.5;989;109.9;141;15.7;5;1;32-61.7;51.9;10.9-24.9;15.3-20.7;71.2;21.6;126.5;104.8;60.7;72.9;36;33.5;31.5;71.3;85.6;10.9
